Age,Date,Feed,FI,Culling,Death,Live_Bird,Std_Body_Weight,ADG,ADG_actual,Total_Body_Weight,Body_Weight,FCR,FCR_actual,IP,IP_actual,Ayam_Dipelihara,persen_Live_Bird
5,19/03/2023,1250,100,0,21,12390,134,146.0,29.2,1808.94,146.0,0.69,0.6910124161110928,419,416.3004642974266,12595,98.37236998809053
9,23/03/2023,2500,202,0,3,12295,269,189.0,21.0,2323.755,189.0,1.08,1.075844914803841,191,189.8129769308809,12595,97.61810242159588
10,24/03/2023,3100,251,0,24,12271,313,39.0,22.8,2797.788,228.0,1.11,1.108018191514153,201,200.1214553179618,12595,97.42755061532354
13,27/03/2023,5050,410,0,11,12211,469,343.0,26.38461538461538,4188.373000000001,343.0,1.21,1.205718783880996,214,211.4065587233151,12595,96.95117109964272
21,04/04/2023,12850,1050,0,1,12177,1018,822.0,39.14285714285715,10009.494,822.0,1.28,1.283781178149465,297,295.6546319401123,12595,96.68122270742356
24,07/04/2023,16750,1371,0,9,12157,1264,1059.0,44.125,12874.263,1059.0,1.3,1.301045349159016,329,327.6194002504046,12595,96.52242953552998
28,11/04/2023,22000,1835,0,10,9025,1615,1345.0,60.49396517609814,15286.825,1260.46,1.44,1.439147762861156,324,301.0222507356787,12595,71.65541881699087
31,14/04/2023,25300,2214,0,9,8123,1892,1482.0,64.36397644283655,16207.686,1337.93,1.56,1.560987793075458,297,266.0948996066618,12595,64.49384676458912
4,13/02/2023,150,76,0,9,1964,109,132.0,33.0,259.248,132.0,0.58,0.5785965561932975,558,551.2818331830632,2027,96.89195855944746
5,14/02/2023,200,102,0,10,1954,131,0.0,26.4,257.928,132.0,0.78,0.7754101919915636,332,326.2722477325339,2027,96.39861864824864
11,20/02/2023,650,334,0,4,1931,321,355.0,32.27272727272727,685.505,355.0,0.95,0.9482060670600506,330,323.6239003122913,2027,95.26393685249136
27,08/03/2023,3650,1919,0,9,1857,1438,1280.0,47.4074074074074,2376.96,1280.0,1.54,1.535574851911685,286,282.0224231176377,2027,91.61322150962012
32,13/03/2023,4750,2524,0,31,1783,1895,1530.0,47.8125,2727.99,1530.0,1.74,1.741208728771,245,241.7073175918208,2027,87.9625061667489
3,24/02/2023,1650,64,58,34,25741,90,20.0,33.33333333333334,2574.1,100.0,0.64,0.641000738122062,516,494.988769921851,27085,95.03784382499538
4,25/02/2023,2200,85,133,58,25550,109,12.0,28.0,2861.6,112.0,0.77,0.7688006709533128,356,343.0278416433114,27085,94.33265645191064
5,26/02/2023,2900,113,163,23,25364,134,24.0,27.2,3449.504,136.0,0.84,0.8407005760828222,317,303.2344383202793,27085,93.6459294812627
6,27/02/2023,3650,143,147,18,25199,163,29.0,27.5,4157.835,165.0,0.88,0.8778607135684797,303,290.7398006276537,27085,93.03673620084918
7,28/02/2023,4450,175,82,16,25101,193,32.0,28.14285714285714,4944.897,197.0,0.9,0.8999176322580632,303,289.7929797726733,27085,92.6749123130884
8,01/03/2023,5450,215,51,21,25029,228,32.0,28.625,5731.641000000001,229.0,0.95,0.950862065506196,289,278.4431565344967,27085,92.4090825179989
9,02/03/2023,6700,265,0,28,25001,269,41.0,30.0,6750.27,270.0,0.99,0.9925528904769736,291,279.7142553465241,27085,92.30570426435295
10,03/03/2023,8050,319,0,21,24980,313,37.0,30.7,7668.86,307.0,1.05,1.049699694609108,281,269.657603488137,27085,92.22817057411852
11,04/03/2023,9450,375,0,20,24960,362,43.0,31.81818181818182,8736.0,350.0,1.08,1.081730769230769,283,271.4984439186027,27085,92.15432896437144
12,05/03/2023,11050,439,0,24,24936,414,50.0,33.33333333333334,9974.4,400.0,1.11,1.107836060314405,288,276.4736307287536,27085,92.0657190326749
13,06/03/2023,12850,511,0,23,24913,469,50.0,34.61538461538461,11210.85,450.0,1.15,1.146211036629694,289,276.8652878371879,27085,91.98080118146576
14,07/03/2023,15000,598,0,25,24888,528,52.0,35.85714285714285,12493.776,502.0,1.2,1.200597801657401,287,274.5715868034495,27085,91.88849916928189
15,08/03/2023,17100,682,0,20,24868,589,66.0,37.86666666666667,14125.024,568.0,1.21,1.210617412048291,300,287.3318209025662,27085,91.8146575595348
16,09/03/2023,19350,773,0,20,24848,654,72.0,40.0,15902.72,640.0,1.22,1.216772979716677,315,300.7895604911072,27085,91.7408159497877
17,10/03/2023,21450,857,0,18,24830,722,60.0,41.1764705882353,17381.0,700.0,1.23,1.234106207928197,321,306.8964655701134,27085,91.67435850101532
18,11/03/2023,23800,952,0,22,24808,792,80.0,43.33333333333334,19350.24,780.0,1.23,1.229958904902471,335,322.6858334671588,27085,91.59313273029352
19,12/03/2023,26500,1061,0,20,24788,865,55.0,43.94736842105263,20697.98,835.0,1.28,1.280318175976593,326,314.221250352205,27085,91.51929112054644
20,13/03/2023,29500,1182,0,21,24767,941,67.0,45.09999999999999,22339.834,902.0,1.32,1.320511155096318,325,312.4260045535659,27085,91.44175743031198
21,14/03/2023,32300,1295,0,18,24749,1018,88.0,47.14285714285714,24501.51,990.0,1.32,1.318286097469095,339,326.3403570769271,27085,91.3752999815396
22,15/03/2023,35250,1414,0,19,24730,1098,90.0,49.09090909090909,26708.4,1080.0,1.32,1.319809498135418,353,339.5646091200491,27085,91.30515045227986
23,16/03/2023,38250,1536,0,18,24712,1180,90.0,50.8695652173913,28913.04,1170.0,1.32,1.322932489976841,366,351.6115639463232,27085,91.23869300350748
24,17/03/2023,41450,1665,0,17,24695,1264,78.0,52.0,30819.36,1248.0,1.34,1.344933833797976,369,353.817032614296,27085,91.17592763522244
25,18/03/2023,44650,1795,0,17,24678,1349,82.0,53.20000000000001,32821.74000000001,1330.0,1.36,1.360378822085605,372,356.4132523971377,27085,91.11316226693742
26,19/03/2023,47750,1921,0,18,19003,1436,70.0,66.39538696319204,32804.5,1330.27,1.46,1.45559298267006,350,319.0644213578102,27085,70.16060550119992
27,20/03/2023,50750,2079,0,18,18985,1525,50.0,65.79960787756417,33728.55,1368.74,1.5,1.504659998725115,340,307.4778304241107,27085,70.09414805242754
28,21/03/2023,53500,2224,0,18,18967,1615,50.0,65.24640541090164,34650.8,1407.2,1.54,1.543975896660394,330,296.6918890334592,27085,70.02769060365516
29,22/03/2023,56750,2395,0,17,18950,1706,50.0,64.73077972886908,35572.8,1445.64,1.6,1.595320019790402,317,283.0552602598461,27085,69.96492523537013
30,23/03/2023,60050,2569,0,15,18935,1798,100.0,65.9150602939882,37443.05,1522.57,1.6,1.603768923738851,327,288.0057381084241,27085,69.90954402805981
31,24/03/2023,63450,2749,0,18,18917,1892,100.0,67.02462540094504,39305.05,1599.46,1.61,1.614296381762649,333,290.7581810448766,27085,69.84308657928743
32,25/03/2023,66750,2924,0,16,17556,1986,100.0,72.26891803372068,40600.10000000001,1653.23,1.64,1.64408462048123,331,285.6304058587015,27085,64.8181650359978
33,26/03/2023,70000,3109,0,17,17294,2081,100.0,73.75688187530444,42093.2,1715.22,1.66,1.662976442750848,335,283.7011361268997,27085,63.85083994831088
34,27/03/2023,72800,3271,0,27,17130,2177,150.0,76.41272621132516,44504.3,1815.46,1.64,1.635796990403174,354,294.6798020684656,27085,63.24533874838472
35,28/03/2023,75800,3446,0,12,17118,2273,50.0,75.66805200874602,45335.0,1850.26,1.67,1.671997353038491,346,286.3652162433223,27085,63.20103378253646
36,29/03/2023,76100,3464,0,13,4698,2369,150.0,289.5227283477603,48966.4,1999.53,1.55,1.554126911514835,387,323.9926343655941,27085,17.34539412959203
20,20/02/2023,11600,1188,0,6,9721,941,910.0,45.5,8846.11,910.0,1.31,1.311310847366809,337,347.1139984163071,9727,99.93831602755218
5,12/07/2023,1200,100,0,9,11939,134,114.0,22.8,1361.046,114.0,0.88,0.8816748295061299,257,258.6143603073626,11961,99.816068890561
12,19/07/2023,4750,399,0,4,11891,414,327.0,27.25,3888.357,327.0,1.22,1.221595650810869,221,222.053470226323,11961,99.41476465178496
27,03/08/2023,22050,1861,0,9,11791,1525,1190.0,44.07407407407408,14031.29,1190.0,1.57,1.571487724934771,275,276.736659220709,11961,98.57871415433492
3,17/07/2023,1200,61,0,77,19752,90,102.0,34.0,2014.704,102.0,0.6,0.5956209944488123,561,560.032022415691,19986,98.8291804262984
5,19/07/2023,2200,112,0,40,19592,134,150.0,30.0,2938.8,150.0,0.75,0.7486048727371717,392,392.1144801360953,19986,98.02862003402382
11,25/07/2023,7000,358,0,20,19384,362,362.0,32.90909090909091,7017.008,362.0,1.0,0.9975761749167168,319,319.1783339246564,19986,96.98789152406684
13,27/07/2023,9700,498,0,20,19336,469,450.0,34.61538461538461,8701.2,450.0,1.11,1.114788764768078,302,301.7080771508871,19986,96.74772340638448
17,31/07/2023,16500,851,0,12,19238,722,633.0,37.23529411764706,12177.654,633.0,1.35,1.354940779233833,265,265.4942119614449,19986,96.25738016611628
20,03/08/2023,22250,1150,0,18,19174,941,821.0,41.05,15741.854,821.0,1.41,1.413429447382754,279,279.3064010055266,19986,95.93715600920645
27,10/08/2023,39450,2050,0,17,19072,1525,1346.0,49.85185185185185,25670.912,1346.0,1.54,1.53675880311537,308,308.909261976409,19986,95.4267987591314
30,13/08/2023,46850,2439,0,17,19020,1798,1553.0,51.76666666666667,29538.06,1553.0,1.59,1.586089269234337,309,309.8401585512374,19986,95.16661663164216
36,19/08/2023,56300,2939,0,13,18765,2369,1809.0,50.25000000000001,33945.885,1809.0,1.66,1.658522085961229,285,284.2174009758639,19986,93.89072350645452
6,21/08/2023,900,113,0,11,7928,163,164.0,27.33333333333333,1300.192,164.0,0.69,0.6922054588860722,392,383.8377397303141,8182,96.89562454167684
8,23/08/2023,1400,176,0,20,7898,228,222.0,27.75,1753.356,222.0,0.8,0.7984687650425812,343,334.8348508922024,8182,96.52896602297729
14,29/08/2023,4200,532,0,9,7841,528,477.0,34.07142857142857,3740.157,477.0,1.12,1.122947512631154,298,291.5307026623898,8182,95.83231483744804
20,04/09/2023,8350,1066,0,8,7743,941,1138.0,56.9,8811.534,1138.0,0.95,0.947621605954196,581,566.81122875632,8182,94.63456367636276
24,08/09/2023,12200,1566,0,16,7672,1264,1232.0,51.33333333333334,9451.904,1232.0,1.29,1.290745229744187,382,373.1288888383589,8182,93.76680518210706
27,11/09/2023,14200,1831,0,170,7378,1525,1480.0,54.81481481481482,10919.44,1480.0,1.3,1.300432989237543,388,380.2189644282042,8182,90.17355169885114
31,15/09/2023,17050,2223,0,20,7227,1892,1892.0,61.03225806451613,13673.484,1892.0,1.25,1.246938965957762,439,431.2687646367716,8182,88.3280371547299
6,29/05/2023,550,139,0,2,3958,163,160.0,26.66666666666667,633.28,160.0,0.87,0.8684941889843356,303,303.6746124226164,3995,99.0738423028786
11,03/06/2023,1250,318,0,4,3899,362,262.0,23.81818181818182,1021.538,262.0,1.22,1.223645131164969,189,190.5395902851739,3995,97.59699624530664
14,06/06/2023,1700,433,0,1,3895,528,353.0,25.21428571428572,1374.935,353.0,1.24,1.236422085407674,197,198.2511261196311,3995,97.49687108886108
17,09/06/2023,2500,641,0,23,3834,722,522.0,30.70588235294118,2001.348,522.0,1.25,1.24915806746253,236,235.747390120003,3995,95.96996245306634
21,13/06/2023,3400,876,0,7,3803,1018,684.0,32.57142857142857,2601.252,684.0,1.31,1.307062906631114,236,236.6873531936731,3995,95.19399249061328
8,19/02/2023,500,204,0,7,2431,215,220.0,27.5,534.82,220.0,0.93,0.9348939830223252,287,291.6203188728217,2465,98.6206896551724
